Run Index,Center,E[T_S],E[N_S],E[T_Q],E[N_Q]
1,Noleggio,13558.454076306181,38.285758691967786,0.0,0.0
1,Ricarica,2001.2001219993383,0.5544672048445165,7.010688326166322E-13,1.9424328019538305E-16
1,Parcheggio,94.5398585162139,0.26566309390016174,7.751375299201092E-14,2.1781864033717434E-16
1,Strada,1722.5257404493889,4.783925757070288, , 
2,Noleggio,12568.07000938204,37.92610415964022,0.0,0.0
2,Ricarica,3086.05211118344,1.0767663070365463,0.0,0.0
2,Parcheggio,99.26478868469542,0.2669052556506684,1.1662701455924404E-13,3.1358917446130226E-16
2,Strada,1845.6663411295324,5.37002704101282, , 
3,Noleggio,20364.82598466514,52.073483010015956,0.0,0.0
3,Ricarica,2310.720571057752,0.6896917901689406,0.0,0.0
3,Parcheggio,98.04362442179543,0.23866530729393476,1.5461953886301128E-13,3.763867357415192E-16
3,Strada,1882.2752134416667,4.69978922218556, , 
4,Noleggio,20178.307586873645,49.41389585855648,0.0,0.0
4,Ricarica,2935.1534872499387,0.7820077667679584,0.0,0.0
4,Parcheggio,89.11574226685455,0.19857286998161458,0.0,0.0
4,Strada,1849.4174847469878,4.456056696672062, , 
5,Noleggio,10549.172886081562,29.587114138154064,0.0,0.0
5,Ricarica,2334.6036361580072,0.6256209585929898,9.885811975792698E-14,2.6491739621135833E-17
5,Parcheggio,101.09107142910162,0.26717927128257046,0.0,0.0
5,Strada,1774.1652185859648,4.824450367201613, , 
6,Noleggio,7688.569079046438,22.520919528445226,0.0,0.0
6,Ricarica,2507.1258961292424,0.593442884310959,0.0,0.0
6,Parcheggio,95.80420485334821,0.2795582814007237,0.0,0.0
6,Strada,1671.1507530819886,4.852583927745641, , 
7,Noleggio,14127.10515547458,39.11711457149395,0.0,0.0
7,Ricarica,2571.2151800999395,0.5676627239200945,0.0,0.0
7,Parcheggio,85.75783478857713,0.2297349912727227,1.825879514922924E-13,4.891313026500687E-16
7,Strada,1867.1688128010874,4.947841363385962, , 
8,Noleggio,4469.456387248189,13.079951001362149,0.0,0.0
8,Ricarica,2882.2408957322823,0.9124238916363833,0.0,0.0
8,Parcheggio,106.40084330005013,0.32083696407544354,1.8189894035458566E-13,5.484909891863418E-16
8,Strada,1592.1825631360446,4.6025112145136635, , 
9,Noleggio,11918.478412774539,31.708526126951465,0.0,0.0
9,Ricarica,3060.402988802845,0.8196109266092582,0.0,0.0
9,Parcheggio,94.86683682392626,0.25041462744079773,0.0,0.0
9,Strada,1638.1486481178813,4.329925769574775, , 
10,Noleggio,19592.164415087427,50.49924246527159,0.0,0.0
10,Ricarica,2500.1704447895836,0.6107546228170846,2.165463575649829E-13,5.289906902653011E-17
10,Parcheggio,90.34991449103221,0.2263489769943149,0.0,0.0
10,Strada,1920.5765018567447,4.878657880680471, , 
11,Noleggio,9391.525229288969,30.22585257917231,0.0,0.0
11,Ricarica,2548.9957752413993,0.7705670877086048,5.247084817920739E-13,1.586205401506525E-16
11,Parcheggio,95.17777440163404,0.2908697455455332,0.0,0.0
11,Strada,1853.4929334972066,5.747366153000102, , 
12,Noleggio,5548.187049910272,16.508951858462023,0.0,0.0
12,Ricarica,2464.2092938479846,0.763534420338848,0.0,0.0
12,Parcheggio,101.33582844510327,0.27788467506830694,0.0,0.0
12,Strada,1784.0423272485368,5.0399968357380995, , 
13,Noleggio,9368.96125122383,27.145696954683633,0.0,0.0
