Batch Number,E[T_Q]
0,2.1844564848929275
1,36.99302854014917
2,92.29310824643018
3,177.3544640459319
4,241.87851648706143
5,298.7871618213065
6,355.96986047524996
7,417.10393516154795
8,473.48598018760345
9,521.8942521096255
10,563.6574093666425
11,603.706503257968
12,628.0455565909509
13,683.2291021924032
14,737.7987569362875
15,769.026155617686
16,815.0344049231853
17,884.0318268477387
18,943.6944041897651
19,1004.2409205717225
20,1069.4337126049743
21,1155.6336615203381
22,1212.0822021874142
23,1294.1290668347604
24,1350.5891580412433
25,1373.9062168460648
26,1412.3281285170808
27,1440.428700503196
28,1448.9562427194614
29,1502.629073136446
30,1563.2747034087452
31,1607.6156422410156
32,1630.9969358944204
33,1674.9975453407833
34,1704.164809195027
35,1772.2263326722668
36,1835.0927036775158
37,1896.7402157177282
38,1939.1479297699245
39,2012.3366477813572
40,2058.7702989829536
41,2087.3255938915872
42,2123.958651099019
43,2177.364147060219
44,2244.205454337309
45,2312.4042732895023
46,2372.394261511159
47,2417.3788572238086
48,2484.2976683970433
49,2559.6887233999314
50,2646.960404543149
51,2682.124228916155
52,2701.009144351044
53,2746.1880215498754
54,2771.2613131294556
55,2819.557389673655
56,2864.177032897151
57,2932.013822771649
58,2990.8185541783423
59,3046.522922542062
60,3103.890810159235
61,3135.4889049120343
62,3187.3480850144597
63,3228.0467203569874
